date,year,month,month_name,quarter,season,date_key
2001-05-07,2001,5,May,2,Autumn,493
2001-05-08,2001,5,May,2,Autumn,494
2001-05-09,2001,5,May,2,Autumn,495
2001-05-10,2001,5,May,2,Autumn,496
2001-05-11,2001,5,May,2,Autumn,497
2001-05-12,2001,5,May,2,Autumn,498
2001-05-13,2001,5,May,2,Autumn,499
2001-05-14,2001,5,May,2,Autumn,500
2001-05-15,2001,5,May,2,Autumn,501
2001-05-16,2001,5,May,2,Autumn,502
2001-05-17,2001,5,May,2,Autumn,503
2001-05-18,2001,5,May,2,Autumn,504
2001-05-19,2001,5,May,2,Autumn,505
2001-05-20,2001,5,May,2,Autumn,506
2001-05-21,2001,5,May,2,Autumn,507
2001-05-22,2001,5,May,2,Autumn,508
2001-05-23,2001,5,May,2,Autumn,509
2001-05-24,2001,5,May,2,Autumn,510
2001-05-25,2001,5,May,2,Autumn,511
2001-05-26,2001,5,May,2,Autumn,512
2001-05-27,2001,5,May,2,Autumn,513
2001-05-28,2001,5,May,2,Autumn,514
2001-05-29,2001,5,May,2,Autumn,515
2001-05-30,2001,5,May,2,Autumn,516
2001-05-31,2001,5,May,2,Autumn,517
2001-06-01,2001,6,June,2,Winter,518
2001-06-02,2001,6,June,2,Winter,519
2001-06-03,2001,6,June,2,Winter,520
2001-06-04,2001,6,June,2,Winter,521
2001-06-05,2001,6,June,2,Winter,522
2001-06-06,2001,6,June,2,Winter,523
2001-06-07,2001,6,June,2,Winter,524
2001-06-08,2001,6,June,2,Winter,525
2001-06-09,2001,6,June,2,Winter,526
2001-06-10,2001,6,June,2,Winter,527
2001-06-11,2001,6,June,2,Winter,528
2001-06-12,2001,6,June,2,Winter,529
2001-06-13,2001,6,June,2,Winter,530
2001-06-14,2001,6,June,2,Winter,531
2001-06-15,2001,6,June,2,Winter,532
2001-06-16,2001,6,June,2,Winter,533
2001-06-17,2001,6,June,2,Winter,534
2001-06-18,2001,6,June,2,Winter,535
2001-06-19,2001,6,June,2,Winter,536
2001-06-20,2001,6,June,2,Winter,537
2001-06-21,2001,6,June,2,Winter,538
2001-06-22,2001,6,June,2,Winter,539
2001-06-23,2001,6,June,2,Winter,540
2001-06-24,2001,6,June,2,Winter,541
2001-06-25,2001,6,June,2,Winter,542
2001-06-26,2001,6,June,2,Winter,543
2001-06-27,2001,6,June,2,Winter,544
2001-06-28,2001,6,June,2,Winter,545
2001-06-29,2001,6,June,2,Winter,546
